Time_in_hr,Concentration_in_nM,stdev
0,6.998754715,3.619845555
1,69.52838393,33.75296906
2,52.37663756,33.79775154
4,22.66910262,16.87714091
8,39.974899,22.41149197
16,37.88345358,19.15002974
